features,accuracy,true_negative,false_positive,false_negative,true_positive,Cost
['feature_1'],0.596938776,227,139,19,7,1960
['feature_20'],0.846938776,329,37,23,3,1060
['feature_34'],0.859693878,333,33,22,4,990
['feature_60'],0.607142857,226,140,14,12,1820
['feature_122'],0.701530612,269,97,20,6,1570
['feature_131'],0.87755102,341,25,23,3,940
['feature_206'],0.714285714,269,97,15,11,1420
['feature_248'],0.635204082,244,122,21,5,1850
['feature_342'],0.607142857,225,141,13,13,1800
['feature_478'],0.640306122,239,127,14,12,1690
['feature_520'],0.58,212,154,11,15,1870
"['feature_1', 'feature_20']",0.74744898,291,75,24,2,1470
"['feature_1', 'feature_34']",0.767857143,294,72,19,7,1290
"['feature_1', 'feature_60']",0.727040816,275,91,16,10,1390
"['feature_1', 'feature_122']",0.785714286,302,64,20,6,1240
"['feature_1', 'feature_131']",0.732142857,284,82,23,3,1510
"['feature_1', 'feature_206']",0.711734694,272,94,19,7,1510
"['feature_1', 'feature_248']",0.681122449,257,109,16,10,1570
"['feature_1', 'feature_342']",0.716836735,273,93,18,8,1470
"['feature_1', 'feature_478']",0.681122449,260,106,19,7,1630
"['feature_1', 'feature_520']",0.68622449,257,109,14,12,1510
"['feature_20', 'feature_34']",0.795918367,304,62,18,8,1160
"['feature_20', 'feature_60']",0.795918367,306,60,20,6,1200
"['feature_20', 'feature_122']",0.831632653,322,44,22,4,1100
"['feature_20', 'feature_131']",0.831632653,320,46,20,6,1060
"['feature_20', 'feature_206']",0.762755102,289,77,16,10,1250
"['feature_20', 'feature_248']",0.704081633,273,93,23,3,1620
"['feature_20', 'feature_342']",0.74744898,282,84,15,11,1290
"['feature_20', 'feature_478']",0.785714286,299,67,17,9,1180
"['feature_20', 'feature_520']",0.719387755,275,91,19,7,1480
"['feature_34', 'feature_60']",0.795918367,305,61,19,7,1180
"['feature_34', 'feature_122']",0.821428571,314,52,18,8,1060
"['feature_34', 'feature_131']",0.81122449,311,55,19,7,1120
"['feature_34', 'feature_206']",0.780612245,295,71,15,11,1160
"['feature_34', 'feature_248']",0.737244898,281,85,18,8,1390
"['feature_34', 'feature_342']",0.760204082,289,77,17,9,1280
"['feature_34', 'feature_478']",0.821428571,313,53,17,9,1040
"['feature_34', 'feature_520']",0.778061224,296,70,17,9,1210
"['feature_60', 'feature_122']",0.823979592,315,51,18,8,1050
"['feature_60', 'feature_131']",0.793367347,302,64,17,9,1150
"['feature_60', 'feature_206']",0.721938776,275,91,18,8,1450
"['feature_60', 'feature_248']",0.760204082,291,75,19,7,1320
"['feature_60', 'feature_342']",0.765306122,292,74,18,8,1280
"['feature_60', 'feature_478']",0.732142857,280,86,19,7,1430
"['feature_60', 'feature_520']",0.742346939,282,84,17,9,1350
"['feature_122', 'feature_131']",0.887755102,345,21,23,3,900
"['feature_122', 'feature_206']",0.803571429,310,56,21,5,1190
"['feature_122', 'feature_248']",0.829081633,316,50,17,9,1010
"['feature_122', 'feature_342']",0.808673469,313,53,22,4,1190
"['feature_122', 'feature_478']",0.806122449,310,56,20,6,1160
"['feature_122', 'feature_520']",0.823979592,316,50,19,7,1070
"['feature_131', 'feature_206']",0.783163265,298,68,17,9,1190
"['feature_131', 'feature_248']",0.770408163,293,73,17,9,1240
"['feature_131', 'feature_342']",0.755102041,290,76,20,6,1360
"['feature_131', 'feature_478']",0.790816327,305,61,21,5,1240
"['feature_131', 'feature_520']",0.765306122,291,75,17,9,1260
"['feature_206', 'feature_248']",0.739795918,279,87,15,11,1320
"['feature_206', 'feature_342']",0.729591837,281,85,21,5,1480
"['feature_206', 'feature_478']",0.765306122,291,75,17,9,1260
"['feature_206', 'feature_520']",0.74,278,88,12,14,1240
"['feature_248', 'feature_342']",0.704081633,269,97,19,7,1540
"['feature_248', 'feature_478']",0.765306122,291,75,17,9,1260
"['feature_248', 'feature_520']",0.642857143,242,124,16,10,1720
"['feature_342', 'feature_478']",0.75255102,286,80,17,9,1310
"['feature_342', 'feature_520']",0.706632653,264,102,13,13,1410
"['feature_478', 'feature_520']",0.724489796,272,94,14,12,1360
"['feature_1', 'feature_20', 'feature_34']",0.798469388,309,57,22,4,1230
"['feature_1', 'feature_20', 'feature_60']",0.788265306,305,61,22,4,1270
"['feature_1', 'feature_20', 'feature_122']",0.821428571,318,48,22,4,1140
"['feature_1', 'feature_20', 'feature_131']",0.772959184,301,65,24,2,1370
"['feature_1', 'feature_20', 'feature_206']",0.778061224,300,66,21,5,1290
"['feature_1', 'feature_20', 'feature_248']",0.772959184,299,67,22,4,1330
"['feature_1', 'feature_20', 'feature_342']",0.783163265,302,64,21,5,1270
"['feature_1', 'feature_20', 'feature_478']",0.788265306,305,61,22,4,1270
"['feature_1', 'feature_20', 'feature_520']",0.757653061,294,72,23,3,1410
